shipment_id,carrier_name,truck_type,distance_km,weight_tons,volume_m3,delivery_time_days,priority_level,origin_country,destination_country,fuel_price_eur_l,cost_eur
107,Kuehne+Nagel,Tautliner,384,10.6,90.3,3,Standard,Poland,Italy,1.84,2051.46
108,DPD,Box,906,10.9,31.5,1,Express,Spain,Germany,1.81,2360.89
109,Kuehne+Nagel,Fridge,746,12.8,7.2,1,Standard,Austria,Italy,1.74,2063.38
110,Kuehne+Nagel,Box,1704,5.0,86.7,2,Express,Belgium,Netherlands,1.7,3604.94
111,DHL,Fridge,2283,11.9,40.8,2,Express,Germany,Italy,1.85,6259.88
112,Kuehne+Nagel,Box,195,13.3,36.3,3,Standard,France,Czechia,1.76,1175.67
113,Maersk,Fridge,373,13.8,38.0,6,Standard,Poland,Poland,1.84,2161.16
114,Kuehne+Nagel,Tautliner,1300,20.7,44.5,3,Express,Belgium,Netherlands,1.9,4827.78
115,DHL,Tautliner,1872,13.4,40.9,6,Standard,Austria,Netherlands,1.79,3359.87
116,Maersk,Tautliner,883,6.5,58.8,2,Standard,Poland,Belgium,1.68,1502.36
117,DB Schenker,Box,1400,16.9,12.5,1,Standard,Netherlands,Spain,1.86,2775.16
118,Kuehne+Nagel,Tautliner,231,20.1,97.3,6,Standard,Netherlands,Netherlands,1.68,2492.12
119,DHL,Fridge,1490,8.7,94.0,5,Standard,France,Belgium,1.68,3505.75
120,DB Schenker,Box,1249,16.5,93.8,1,Standard,Spain,Belgium,1.62,3057.63
121,DB Schenker,Fridge,1910,4.5,88.5,1,Express,France,Netherlands,1.62,5182.36
122,DPD,Box,2130,9.2,67.7,5,Standard,Austria,Czechia,1.86,3401.55
123,Maersk,Fridge,907,22.8,26.0,3,Standard,Portugal,Belgium,1.67,2403.08
124,Kuehne+Nagel,Fridge,843,22.9,9.7,2,Standard,France,Portugal,1.63,2456.88
125,DHL,Box,150,14.8,14.4,3,Standard,Spain,Poland,1.71,1182.42
126,DPD,Box,1281,17.9,35.8,3,Express,Poland,Spain,1.81,3368.95
127,Maersk,Tautliner,155,21.5,52.9,3,Standard,Portugal,France,1.7,1807.97
128,DPD,Tautliner,843,24.0,99.4,2,Express,Spain,Spain,1.69,3805.35
129,Maersk,Fridge,542,12.8,46.4,3,Standard,Poland,Belgium,1.75,2335.55
130,Maersk,Fridge,2034,14.5,54.8,3,Standard,Austria,Czechia,1.61,4151.19
131,Kuehne+Nagel,Fridge,2473,11.0,71.0,4,Standard,Netherlands,Austria,1.75,5416.79
132,Maersk,Box,1761,2.7,22.2,1,Express,Spain,Spain,1.9,3003.53
133,DPD,Box,179,11.1,93.6,4,Standard,Belgium,Italy,1.84,1315.19
134,Maersk,Tautliner,476,20.0,55.3,2,Standard,Belgium,Germany,1.62,2203.39
135,Kuehne+Nagel,Fridge,2480,20.3,31.2,6,Standard,France,Austria,1.8,5622.16
136,Kuehne+Nagel,Tautliner,540,22.4,93.8,6,Express,Italy,Germany,1.74,3475.6
137,DPD,Box,225,2.2,64.4,5,Standard,Belgium,Poland,1.85,1490.09
138,DB Schenker,Box,1817,13.7,51.0,6,Standard,Spain,Netherlands,1.63,2958.67
139,DB Schenker,Box,318,3.6,60.1,5,Standard,Italy,Poland,1.67,1007.64
140,Maersk,Tautliner,1047,5.8,76.1,6,Standard,Spain,France,1.84,2589.09
141,DHL,Box,377,22.6,19.7,4,Standard,Belgium,Italy,1.85,1841.74
142,Maersk,Fridge,694,12.9,87.2,4,Standard,Italy,Spain,1.76,3143.44
143,DPD,Tautliner,1034,19.2,96.2,4,Express,Germany,France,1.61,3773.96
144,DPD,Box,2118,2.5,58.9,1,Standard,Belgium,Spain,1.87,3248.24
145,DPD,Tautliner,240,11.0,69.8,2,Express,France,Belgium,1.71,1983.7
146,DPD,Tautliner,1730,17.2,86.7,6,Standard,Portugal,Austria,1.61,3639.42
147,DPD,Box,976,4.2,40.6,6,Standard,Belgium,Belgium,1.85,2078.28
148,Kuehne+Nagel,Box,1829,8.8,99.3,6,Standard,Germany,Austria,1.73,3287.76
149,DB Schenker,Tautliner,209,2.5,69.6,3,Standard,Spain,France,1.66,1011.52
150,DPD,Tautliner,1175,16.6,45.3,4,Standard,Netherlands,Germany,1.84,2916.36
151,DHL,Box,2093,24.3,69.3,1,Standard,Poland,Portugal,1.74,4047.2
152,DHL,Fridge,1322,20.8,54.6,5,Express,Italy,Austria,1.78,5146.11
153,DHL,Tautliner,895,24.4,15.6,5,Standard,Portugal,France,1.85,2742.36
154,DHL,Tautliner,2129,21.3,80.6,5,Express,Portugal,Austria,1.76,5972.61
155,Kuehne+Nagel,Fridge,828,21.5,58.6,4,Standard,Czechia,Spain,1.63,3098.61
156,DHL,Box,1637,14.9,80.6,5,Standard,Netherlands,Italy,1.89,3641.07
157,DPD,Box,1140,13.4,19.7,5,Standard,Spain,Spain,1.69,2174.95
158,Maersk,Fridge,414,10.8,56.1,5,Standard,Austria,Netherlands,1.9,2342.87
159,DHL,Box,176,20.6,77.8,3,Express,Portugal,Portugal,1.6,2416.83
160,Kuehne+Nagel,Box,1740,5.4,98.9,5,Express,Belgium,Spain,1.75,4146.87
161,Kuehne+Nagel,Tautliner,811,2.3,89.0,1,Standard,Austria,Portugal,1.81,1875.74
162,DHL,Tautliner,1637,23.7,87.1,4,Standard,Germany,Spain,1.87,4290.12
163,Maersk,Tautliner,1967,1.1,28.5,6,Standard,Spain,Germany,1.83,2823.59
164,DHL,Fridge,953,24.4,84.6,3,Express,France,Germany,1.68,4919.95
165,Kuehne+Nagel,Box,1261,18.5,21.1,3,Standard,Germany,Spain,1.67,2204.02
166,DB Schenker,Box,1697,8.9,23.8,4,Express,Austria,Spain,1.71,3038.26
167,DPD,Tautliner,2012,17.7,15.5,5,Standard,Czechia,Czechia,1.63,3037.4
168,Kuehne+Nagel,Tautliner,364,20.6,86.5,6,Standard,Spain,Austria,1.8,2399.34
169,DHL,Fridge,432,6.9,15.3,6,Standard,France,Germany,1.88,1368.71
170,DPD,Box,2335,19.5,18.1,5,Standard,Netherlands,Netherlands,1.79,3696.82
171,DHL,Fridge,1186,20.3,28.4,2,Standard,Austria,Czechia,1.76,3319.46
172,DHL,Box,919,7.0,59.4,5,Standard,France,Poland,1.75,1940.89
173,DB Schenker,Fridge,1402,2.0,88.6,6,Express,Austria,Poland,1.78,4471.94
174,DPD,Tautliner,1665,5.9,44.7,1,Standard,Italy,Austria,1.81,2962.08
175,DPD,Fridge,1294,5.8,56.9,5,Express,Poland,Spain,1.84,4144.62
176,DB Schenker,Fridge,1626,2.6,20.8,4,Standard,Austria,Austria,1.81,3070.48
177,Kuehne+Nagel,Tautliner,398,18.4,30.3,5,Express,Germany,Germany,1.81,2252.41
178,DHL,Box,2348,10.1,17.7,4,Express,Portugal,Belgium,1.89,4773.13
179,Maersk,Box,1258,22.2,43.9,3,Standard,Belgium,Austria,1.87,2925.27
180,DHL,Tautliner,371,7.1,61.1,2,Express,Spain,Italy,1.85,1926.74
181,DHL,Fridge,634,11.9,32.0,3,Express,Belgium,Poland,1.61,2024.38
182,Kuehne+Nagel,Fridge,2178,16.3,85.4,4,Standard,France,Poland,1.8,5334.28
183,DHL,Fridge,1244,22.1,98.2,2,Express,France,Poland,1.74,5451.2
184,DB Schenker,Box,168,13.6,16.4,3,Standard,Poland,Netherlands,1.79,1224.98
185,DB Schenker,Fridge,926,10.0,6.7,5,Standard,Czechia,Austria,1.81,2315.77
186,DPD,Box,1269,21.8,80.0,6,Standard,Netherlands,Netherlands,1.81,3148.48
187,Maersk,Fridge,1083,8.4,23.1,6,Standard,Austria,Poland,1.86,2471.14
188,DHL,Tautliner,580,2.9,38.5,5,Standard,Germany,Portugal,1.87,1054.43
189,DHL,Tautliner,2440,11.7,42.5,2,Express,Belgium,Spain,1.78,5192.3
190,Kuehne+Nagel,Box,2115,19.8,92.1,3,Express,Czechia,Spain,1.87,5829.97
191,DB Schenker,Box,1552,1.7,67.6,1,Express,Austria,Austria,1.83,3549.19
192,Maersk,Tautliner,2233,15.1,8.9,1,Standard,Czechia,Austria,1.66,3417.63
193,DPD,Tautliner,1139,15.3,6.4,1,Express,Austria,Poland,1.61,2717.36
194,DB Schenker,Fridge,727,23.3,24.0,3,Standard,Czechia,Austria,1.6,2591.85
195,DPD,Tautliner,217,7.9,35.2,6,Express,Italy,Austria,1.78,1264.59
196,Kuehne+Nagel,Box,2417,7.7,51.0,3,Standard,Portugal,Belgium,1.76,3587.8
197,Kuehne+Nagel,Tautliner,261,11.6,84.6,3,Express,Portugal,Belgium,1.81,2347.0
198,DHL,Box,1776,9.6,34.9,4,Standard,Netherlands,Czechia,1.85,3022.83
199,Maersk,Box,266,18.7,40.8,6,Express,Portugal,Italy,1.65,1874.75
200,DPD,Fridge,399,16.4,36.3,1,Express,Austria,Spain,1.86,2540.31
201,DB Schenker,Fridge,2175,19.2,5.9,1,Express,Austria,Czechia,1.63,5525.34
202,Kuehne+Nagel,Fridge,661,20.7,95.7,1,Standard,Portugal,Spain,1.86,3681.15
203,DHL,Fridge,2303,23.2,18.2,6,Express,France,Portugal,1.86,6913.12
204,DHL,Tautliner,1447,11.3,32.3,4,Express,Czechia,Belgium,1.81,3623.11
205,DPD,Fridge,1244,24.6,17.3,4,Standard,Netherlands,Czechia,1.69,3264.84
206,Kuehne+Nagel,Tautliner,1651,6.2,51.6,3,Standard,Poland,Italy,1.63,2476.88
207,Maersk,Fridge,660,18.1,93.6,6,Standard,Poland,Spain,1.83,3322.02
208,Kuehne+Nagel,Fridge,1287,13.8,14.6,6,Express,Italy,Belgium,1.67,3707.48
209,DPD,Box,1789,20.6,46.9,1,Standard,Netherlands,Belgium,1.73,3420.05
210,DPD,Tautliner,411,12.4,7.1,1,Express,Spain,Netherlands,1.76,1363.56
211,Kuehne+Nagel,Box,1469,19.8,78.2,6,Standard,Spain,Germany,1.81,3384.5
212,DPD,Fridge,2297,23.3,65.9,5,Standard,France,Czechia,1.75,5438.09
213,Kuehne+Nagel,Tautliner,2011,18.6,71.5,6,Express,Belgium,Belgium,1.81,5631.18
214,DB Schenker,Fridge,680,19.6,49.9,5,Standard,Germany,Spain,1.84,2941.82
215,Kuehne+Nagel,Box,1076,2.6,91.2,5,Standard,Poland,Poland,1.81,2266.66
216,Kuehne+Nagel,Tautliner,276,5.9,43.9,4,Express,Czechia,Czechia,1.69,1231.82
217,DPD,Box,613,24.4,53.8,3,Standard,Portugal,Germany,1.87,2721.95
218,DPD,Fridge,2456,17.6,71.1,2,Standard,Netherlands,Netherlands,1.77,6055.94
219,DHL,Fridge,218,14.5,54.5,1,Express,Belgium,Spain,1.74,2394.71
220,DHL,Fridge,1642,9.8,23.0,5,Express,Germany,Netherlands,1.77,4222.61
221,DB Schenker,Tautliner,866,2.1,35.1,1,Standard,Belgium,Portugal,1.74,1308.15
222,DHL,Box,1072,9.9,13.8,1,Standard,Germany,Austria,1.83,1600.91
223,Kuehne+Nagel,Box,1015,13.0,46.1,1,Standard,Netherlands,Italy,1.73,2332.68
224,DPD,Fridge,1537,6.1,62.9,6,Standard,Portugal,Italy,1.83,3486.49
225,DHL,Box,686,5.2,16.3,3,Standard,Netherlands,Austria,1.83,936.05
226,DHL,Tautliner,450,13.2,64.9,1,Standard,Italy,Germany,1.68,1593.03
227,DB Schenker,Fridge,1629,15.1,89.8,3,Standard,Spain,Poland,1.63,3899.51
228,DB Schenker,Fridge,2342,6.8,37.1,2,Express,Italy,Italy,1.86,6264.07
229,Kuehne+Nagel,Fridge,1573,15.1,26.1,2,Standard,Spain,Poland,1.65,3665.82
230,DPD,Tautliner,595,22.6,89.8,4,Standard,Czechia,Poland,1.61,2550.33
231,DB Schenker,Fridge,1970,12.4,70.7,1,Standard,Belgium,France,1.72,4408.97
232,DHL,Fridge,372,21.6,15.0,5,Standard,Italy,Italy,1.68,1564.87
233,DPD,Fridge,2199,23.3,43.8,4,Standard,Netherlands,Czechia,1.67,4711.43
234,DPD,Fridge,362,3.2,69.0,6,Standard,Austria,Germany,1.65,1313.21
235,DHL,Box,2280,3.3,59.6,4,Standard,Germany,Belgium,1.82,3485.62
236,DB Schenker,Fridge,2457,12.4,63.8,2,Standard,Italy,Italy,1.84,5938.14
237,DHL,Tautliner,1696,15.1,58.9,5,Standard,Belgium,Portugal,1.61,3347.04
238,DPD,Fridge,2163,11.2,80.8,1,Express,Czechia,Germany,1.76,6367.02
239,Maersk,Fridge,1864,8.8,35.4,1,Express,France,Poland,1.64,4589.37
240,Maersk,Box,294,16.4,72.3,2,Standard,Poland,Austria,1.75,1776.61
241,Kuehne+Nagel,Fridge,1886,1.0,99.2,6,Standard,Austria,Austria,1.7,3897.02
242,DHL,Box,1566,24.2,42.0,3,Standard,France,Poland,1.66,3048.98
243,DHL,Tautliner,2450,6.6,80.1,2,Express,Netherlands,Portugal,1.88,5504.5
244,Kuehne+Nagel,Box,1171,23.0,28.4,5,Standard,Spain,Poland,1.89,2690.12
245,Kuehne+Nagel,Fridge,1870,3.6,31.8,3,Standard,France,Belgium,1.77,3341.27
246,Kuehne+Nagel,Tautliner,1244,6.7,93.8,5,Standard,Spain,Germany,1.66,2475.18
247,DPD,Fridge,1622,6.6,7.5,1,Standard,Portugal,Germany,1.77,2975.69
248,DHL,Box,931,24.9,25.7,3,Standard,Czechia,Austria,1.88,2711.21
249,DPD,Tautliner,661,1.1,50.9,5,Standard,France,Italy,1.71,1621.63
250,Kuehne+Nagel,Tautliner,140,16.4,43.2,1,Express,Czechia,Italy,1.64,1693.83
251,DHL,Box,1579,21.9,64.8,5,Express,Czechia,Portugal,1.81,4149.7
252,DPD,Box,470,17.1,23.3,3,Standard,Belgium,Czechia,1.8,1891.15
253,DPD,Tautliner,1305,9.7,11.7,1,Standard,Spain,Spain,1.6,1840.66
254,Kuehne+Nagel,Tautliner,756,24.0,40.1,5,Standard,Poland,Italy,1.86,3151.79
255,DHL,Box,689,22.4,54.8,4,Standard,Spain,France,1.8,2681.25
256,Kuehne+Nagel,Fridge,330,11.4,58.4,3,Standard,Portugal,Netherlands,1.66,1745.48
257,DHL,Tautliner,908,14.8,62.1,3,Standard,Czechia,Portugal,1.6,2242.44
258,Maersk,Box,1471,24.2,57.1,3,Standard,Italy,Poland,1.89,3299.47
259,DB Schenker,Fridge,578,24.6,28.3,6,Standard,Austria,Poland,1.83,2386.57
260,DB Schenker,Tautliner,1332,11.8,77.6,1,Standard,Netherlands,Germany,1.71,3084.17
261,DB Schenker,Tautliner,2425,21.3,13.3,3,Standard,Germany,Portugal,1.73,4144.54
262,Kuehne+Nagel,Box,1872,8.2,23.8,5,Standard,Italy,Poland,1.76,2919.3
263,Maersk,Fridge,2200,9.9,75.2,4,Standard,Portugal,Italy,1.82,5245.29
264,DHL,Tautliner,1984,5.0,31.6,5,Standard,Portugal,Poland,1.65,2498.82
265,DPD,Fridge,1133,6.0,51.9,5,Standard,Netherlands,Portugal,1.66,2560.97
266,DHL,Fridge,1862,16.8,36.1,3,Standard,Netherlands,France,1.61,4328.53
267,DPD,Tautliner,847,13.3,53.2,4,Standard,Spain,Germany,1.9,2268.91
268,DHL,Fridge,563,6.5,37.9,4,Express,Spain,Germany,1.86,2582.89
269,Maersk,Tautliner,853,10.7,99.4,4,Standard,Spain,Germany,1.77,2725.24
270,DPD,Fridge,1940,10.0,39.0,4,Standard,France,Netherlands,1.73,3985.52
271,Kuehne+Nagel,Tautliner,682,24.7,64.6,2,Standard,Austria,France,1.67,2635.08
272,DHL,Box,2305,21.5,89.4,4,Standard,Italy,Spain,1.78,4205.24
273,DHL,Tautliner,118,10.3,65.6,3,Standard,Germany,Germany,1.81,1070.98
274,DPD,Tautliner,154,22.9,58.8,6,Standard,Czechia,France,1.81,1909.16
275,Kuehne+Nagel,Tautliner,1850,9.2,59.1,4,Express,Italy,Austria,1.6,3772.31
276,Kuehne+Nagel,Fridge,820,17.0,52.2,5,Express,Portugal,Portugal,1.81,4011.39
277,Maersk,Box,1663,24.2,81.7,2,Standard,Portugal,Belgium,1.86,4376.09
278,Kuehne+Nagel,Fridge,2432,10.4,9.8,5,Express,Czechia,Czechia,1.63,5588.06
279,Kuehne+Nagel,Fridge,1655,17.3,89.1,3,Standard,Austria,Czechia,1.83,4730.16
280,Kuehne+Nagel,Tautliner,1519,8.1,60.7,3,Express,Germany,Netherlands,1.85,4240.16
281,DB Schenker,Fridge,2267,7.4,85.6,6,Standard,Belgium,Czechia,1.68,4846.37
282,Maersk,Tautliner,2244,14.8,6.0,6,Standard,Czechia,Austria,1.81,3760.82
283,DHL,Box,2267,24.5,87.6,4,Standard,Germany,Portugal,1.63,4497.05
284,DPD,Fridge,1660,11.9,16.4,6,Standard,France,France,1.79,3108.88
285,DHL,Fridge,1276,23.5,73.5,3,Standard,Italy,Belgium,1.75,4114.0
286,Maersk,Fridge,1368,22.9,44.6,2,Standard,Belgium,Italy,1.85,4378.53
287,DPD,Tautliner,1895,7.1,69.7,6,Standard,Austria,Czechia,1.74,3465.78
288,Maersk,Tautliner,1266,10.6,64.7,5,Standard,Poland,Czechia,1.73,2609.56
289,Kuehne+Nagel,Fridge,1970,16.4,20.5,3,Express,Portugal,Spain,1.88,5570.47
290,DPD,Fridge,2367,13.4,53.9,6,Standard,Austria,Netherlands,1.88,5071.68
291,Kuehne+Nagel,Box,259,3.3,31.3,6,Standard,Belgium,Netherlands,1.61,642.34
292,DHL,Box,738,24.8,58.2,3,Standard,Netherlands,Czechia,1.75,2648.54
293,DHL,Box,1155,19.1,75.1,2,Express,Czechia,Poland,1.65,3770.46
294,DPD,Box,433,11.5,12.7,1,Standard,France,Netherlands,1.68,875.55
295,DPD,Box,991,15.8,54.0,1,Standard,Poland,France,1.8,2343.21
296,Maersk,Tautliner,2116,3.1,63.7,2,Express,Netherlands,France,1.64,3987.53
